,precision,recall,f1-score,support,elapsed_time
others,0.94,0.97,0.95,29192,32.301931858062744
nod,0.82,0.66,0.7,3098,32.301931858062744
shake,0.81,0.66,0.69,3038,32.301931858062744
accuracy,0.92,0.92,0.92,0,32.301931858062744
macro avg,0.86,0.76,0.78,35328,32.301931858062744
weighted avg,0.92,0.92,0.91,35328,32.301931858062744
