,precision,recall,f1-score,support,sum_fit_time
others,0.9,0.98,0.94,44558,914.8125550746918
nod,0.84,0.45,0.59,5446,914.8125550746918
shake,0.85,0.65,0.73,5379,914.8125550746918
accuracy,0.89,0.89,0.89,0,914.8125550746918
macro avg,0.86,0.69,0.75,55383,914.8125550746918
weighted avg,0.89,0.89,0.88,55383,914.8125550746918
