,precision,recall,f1-score,support,elapsed_time
others,0.81,0.83,0.82,1173,2.682800054550171
nod,0.77,0.75,0.75,616,2.682800054550171
shake,0.89,0.86,0.88,756,2.682800054550171
accuracy,0.82,0.82,0.82,0,2.682800054550171
macro avg,0.82,0.81,0.81,2545,2.682800054550171
weighted avg,0.82,0.82,0.82,2545,2.682800054550171
