,precision,recall,f1-score,support,sum_fit_time
others,0.94,0.98,0.96,44558,65.18300914764404
nod,0.84,0.64,0.73,5446,65.18300914764404
shake,0.88,0.79,0.83,5379,65.18300914764404
accuracy,0.93,0.93,0.93,0,65.18300914764404
macro avg,0.88,0.8,0.84,55383,65.18300914764404
weighted avg,0.92,0.93,0.92,55383,65.18300914764404
