,precision,recall,f1-score,support,sum_fit_time
others,0.954,0.978,0.966,44558,19.832955360412598
nod,0.894,0.786,0.837,5446,19.832955360412598
shake,0.878,0.805,0.84,5379,19.832955360412598
accuracy,0.942,0.942,0.942,0,19.832955360412598
macro avg,0.909,0.856,0.881,55383,19.832955360412598
weighted avg,0.941,0.942,0.941,55383,19.832955360412598
