,max_gyro_X,max_gyro_Z,min_gyro_X,min_gyro_Z,var_acc_Y,var_gyro_Z,per25_gyro_X,per25_gyro_Z,per_range_gyro_X,per_range_gyro_Z,RMS_gyro_Z,PB5-10gyro_X,PB0-5gyro_Z,PB5-10gyro_Z,En_acc_Y,En_gyro_Z
50858,35.969465648854964,6.702290076335878,-18.900763358778622,-1.450381679389313,0.045614481161627,3.933034706237982,-5.736641221374046,2.2137404580152675,6.83587786259542,2.026717557251908,3.555362462201546,1101.9009450369788,10906.356045469816,17.84005348685045,1.5566685728987617,134.24477983023525
50859,19.419847328244277,14.702290076335878,-140.61068702290078,-1.450381679389313,0.1256513240797819,13.702903522157797,-16.530534351145036,1.1374045801526715,12.503816793893128,3.99236641221374,5.220954823356088,90516.05097137217,20238.388874149387,577.4624975903213,4.273324089102886,466.63317988462194
50860,213.6030534351145,30.549618320610687,-173.89312977099237,-22.04580152671756,1.86294963967496,145.6831906284599,-85.56106870229007,0.6412213740458015,84.40839694656488,11.385496183206106,12.392304554324152,8394.40433206594,79916.47339491318,2543.7228223839716,63.56978191782971,4972.624936386769
50861,213.6030534351145,30.549618320610687,-173.89312977099237,-22.04580152671756,2.4663015193250586,190.77098303384128,-96.30916030534351,-11.305343511450381,197.91603053435114,23.80916030534351,13.971537357329913,74993.09801906228,99325.74888062975,2519.6035356801267,84.18298633935102,6510.026890429848
50862,135.14503816793894,24.595419847328245,-128.12213740458014,-14.732824427480915,1.3211647510894873,143.37096810172775,-84.09541984732823,-7.3893129770992365,166.293893129771,22.263358778625953,12.478971006554865,34235.099401418665,85274.14979729817,627.0353258421383,45.08093675543001,4891.794417574737
50863,110.83969465648856,24.595419847328245,-126.22900763358778,-14.16793893129771,0.7233945257666787,123.50751499584814,-47.732824427480914,-5.385496183206107,122.16412213740458,19.446564885496183,11.882205673442403,5758.450424457415,81218.86553139213,108.7062673570179,24.63043848760913,4215.704523823398
50864,109.08396946564883,15.709923664122137,-51.83206106870229,-10.50381679389313,0.1969042985818673,40.1779614296224,-5.652671755725191,-0.015267175572519075,6.965648854961832,4.912213740458015,6.924150672620303,6864.610761083879,28421.559496207094,80.98892607832194,6.698389198017925,1371.0938523396069
50865,1.4961832061068705,4.366412213740458,-3.66412213740458,-0.3053435114503817,0.0015260965123836839,1.162339161106579,-2.0229007633587788,1.7213740458015268,1.1603053435114505,0.8473282442748091,2.290157441311875,112.59250940144463,4749.355103556972,22.02901643864345,0.052082688105458,39.67039993784356
50866,-0.3358778625954198,4.366412213740458,-3.3740458015267176,1.618320610687023,0.001417218269301968,0.5133512670444611,-1.938931297709924,1.923664122137405,0.717557251908397,1.0763358778625947,2.5891805899290437,32.04144985239865,6577.458815643906,23.20030832677074,0.048315867367614125,17.50932929316473
50867,-0.3358778625954198,3.725190839694657,-3.3740458015267176,1.618320610687023,0.000637147641519839,0.32920211526134846,-1.6412213740458017,2.0877862595419847,0.4312977099236641,0.83206106870229,2.6152419975348042,40.87821211320586,6822.541725954741,12.15075589224074,0.021738610234614358,11.235242701474279
50868,-0.4885496183206106,3.5114503816793894,-2.16793893129771,2.030534351145038,0.00026183957944201784,0.1523621875182099,-1.7251908396946565,2.351145038167939,0.4580152671755726,0.5381679389312977,2.690677272993115,15.340666233659675,7327.546643711102,7.461769960360539,0.008894466133033057,5.1986403278752205
50869,-0.8244274809160306,3.4198473282442747,-2.16793893129771,2.2900763358778624,0.00027503231977018405,0.08638387003962471,-1.7480916030534353,2.427480916030534,0.4732824427480917,0.43511450381679406,2.6911929279276463,12.181335908802996,7361.56049442383,10.229033982572956,0.009307471257556217,2.9481887224909196
50870,-0.9465648854961832,3.4198473282442747,-2.15267175572519,1.923664122137405,0.0002401576948653432,0.11041910982751586,-1.8206106870229006,2.4122137404580157,0.5725190839694654,0.3435114503816794,2.6218109844938633,10.71241344937644,6960.936261640665,20.993848127335525,0.00816752743479176,3.7685915739176026
50871,-1.0229007633587786,3.267175572519084,-2.15267175572519,1.8778625954198476,0.00039032150413155123,0.10208375823087229,-1.8206106870229006,2.2557251908396947,0.5725190839694654,0.38931297709923696,2.47585508458394,7.2399307764600085,6192.176697352583,32.13067769876668,0.013322209714145225,3.4836819921138993
50872,-0.9770992366412212,3.49618320610687,-1.954198473282443,1.4351145038167938,0.0008897227740569631,0.20344003117533938,-1.6106870229007635,2.1106870229007635,0.39312977099236646,0.6259541984732819,2.475596175325321,10.793965218804908,6151.804250834307,19.384232773239628,0.030336912618856963,6.942563564671829
50873,16.549618320610687,3.969465648854962,-1.862595419847328,1.4351145038167938,0.0013063695819238675,0.3559139819212167,-1.6106870229007635,2.3435114503816794,0.5267175572519085,0.6984732824427482,2.8284232618415803,1701.905133587356,7967.135752442517,36.365027656700136,0.04406410237529964,12.086987937765867
50874,18.244274809160306,8.244274809160306,-15.69465648854962,0.5038167938931297,0.023131219128755688,3.082244761013344,-1.7480916030534353,2.6946564885496183,7.83587786259542,1.4198473282442747,3.9716055961051,504.3154932539907,14541.223474423421,26.85848349901963,0.7888111268311935,105.18863314103685
50875,18.244274809160306,8.244274809160306,-15.69465648854962,0.0458015267175572,0.004947314009107579,5.699840617898142,-11.461832061068701,1.946564885496183,15.400763358778626,3.2862595419847334,4.4065170639022675,1109.9799432837976,16933.73146860018,29.252181146029752,0.1684899451042852,194.49842472272397
50876,6.030534351145038,50.09160305343512,-13.49618320610687,-33.52671755725191,0.1188152034646476,373.08954897733236,-11.083969465648854,0.5763358778625954,11.015267175572518,6.866412213740458,19.672189682612565,96.24792001176539,197417.98356822002,7620.245145658074,4.034814059605911,12734.189476137755
50877,6.030534351145038,50.09160305343512,-8.50381679389313,-36.76335877862596,0.10210299911920392,678.5330391221373,-2.6908396946564883,-22.416030534351144,5.095419847328244,46.14885496183206,26.182324779861585,105.70273407538441,350110.8959668123,4226.335505793338,3.4791295651489187,23160.385432084386
50878,4.931297709923665,41.23664122137404,-8.50381679389313,-36.76335877862596,0.07266783047737299,308.1545473748616,-2.6221374045801524,-0.12977099236641226,1.9694656488549616,4.530534351145038,17.635391583496116,330.8717418254455,159121.63381269685,1497.845925938354,2.474273097923365,10518.340764912691
