,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,119.26018619537354
nod,0.93,0.84,0.88,5446,119.26018619537354
shake,0.92,0.85,0.89,5379,119.26018619537354
accuracy,0.96,0.96,0.96,0,119.26018619537354
macro avg,0.94,0.89,0.91,55383,119.26018619537354
weighted avg,0.96,0.96,0.96,55383,119.26018619537354
