,precision,recall,f1-score,support
others,0.951,0.962,0.956,40549
nod,0.791,0.788,0.79,6651
shake,0.815,0.76,0.786,6706
accuracy,0.915,0.915,0.915,0
macro avg,0.852,0.837,0.844,53906
weighted avg,0.914,0.915,0.915,53906
