,precision,recall,f1-score,support
others,0.981,0.985,0.983,49231
nod,0.83,0.785,0.807,2307
shake,0.845,0.817,0.831,2368
accuracy,0.969,0.969,0.969,0
macro avg,0.885,0.862,0.874,53906
weighted avg,0.969,0.969,0.969,53906
