,precision,recall,f1-score,support
others,0.968,0.976,0.972,40549
nod,0.915,0.888,0.901,6651
shake,0.923,0.902,0.912,6706
accuracy,0.956,0.956,0.956,0
macro avg,0.935,0.922,0.929,53906
weighted avg,0.956,0.956,0.956,53906
