,precision,recall,f1-score,support
others,0.854,0.997,0.92,89077
nod,0.915,0.193,0.319,9371
shake,0.908,0.194,0.32,9482
accuracy,0.856,0.856,0.856,0
macro avg,0.892,0.461,0.52,107930
weighted avg,0.864,0.856,0.815,107930
