,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.93,0.95,44558,388.141215801239
nod,0.66,0.83,0.73,5446,388.141215801239
shake,0.78,0.88,0.82,5379,388.141215801239
accuracy,0.92,0.92,0.92,0,388.141215801239
macro avg,0.8,0.88,0.84,55383,388.141215801239
weighted avg,0.93,0.92,0.92,55383,388.141215801239
