,precision,recall,f1-score,support
others,0.825,0.996,0.902,85124
nod,0.923,0.205,0.336,11330
shake,0.896,0.212,0.343,11476
accuracy,0.829,0.829,0.829,0
macro avg,0.882,0.471,0.527,107930
weighted avg,0.843,0.829,0.783,107930
