,precision,recall,f1-score,support,elapsed_time
others,0.91,0.96,0.93,29192,31.153906106948853
nod,0.58,0.4,0.45,3098,31.153906106948853
shake,0.74,0.57,0.6,3038,31.153906106948853
accuracy,0.88,0.88,0.88,0,31.153906106948853
macro avg,0.74,0.64,0.66,35328,31.153906106948853
weighted avg,0.87,0.88,0.86,35328,31.153906106948853
