,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.86,0.92,42701,2665.4572863578796
nod,0.47,0.87,0.61,4924,2665.4572863578796
shake,0.67,0.87,0.76,4846,2665.4572863578796
accuracy,0.86,0.86,0.86,0,2665.4572863578796
macro avg,0.71,0.87,0.76,52471,2665.4572863578796
weighted avg,0.91,0.86,0.88,52471,2665.4572863578796
