,En_acc_Y
30000,1.8067729354774231
30001,3.3140425415182357
30002,0.707704009197487
30003,0.7844066942032122
30004,4.561473837924571
30005,5.6982691534290755
30006,2.594491409148966
30007,3.936939488029384
30008,1.821382979815343
30009,1.2709921735262502
30010,2.0258573936178417
30011,1.0920787930516276
30012,0.14148592556294734
30013,0.08797993180281789
30014,0.21186131091749485
30015,0.04852480611555152
30016,0.025756979085543436
30017,0.049411386628060154
30018,0.05973555937420637
30019,0.024924758951441934
30020,0.9966829209790935
30021,3.0141379579703598
30022,0.9243284930257724
30023,2.598043176790511
30024,3.46037399262148
30025,4.123519114909797
30026,1.8948758230043365
30027,0.1994736411358235
30028,0.043992545392124
30029,0.028197750522350226
30030,0.04999769531397198
30031,0.022697607560536806
30032,0.021633997555606042
30033,0.02120895480774509
30034,0.033712892744989766
30035,0.028256601125335776
30036,0.3090840356366004
30037,4.648575405370492
30038,3.4147947738293802
30039,3.816721272340474
30040,8.91695699918953
30041,7.594157474307504
30042,1.72093359882151
30043,0.17505751953875626
30044,0.22403497850649115
30045,0.1352863584705222
30046,0.01929525930709215
30047,0.02564281273721934
30048,0.023515401653971275
30049,0.010882298107576637
30050,0.017157148114210475
30051,0.02044599877618315
30052,0.020243843133460258
30053,2.4141982877517516
30054,3.714161199184696
30055,9.105049449606105
30056,23.205030739077984
30057,26.84845045629995
30058,12.347834037798403
30059,0.13204231451764067
30060,1.4346951570831479
30061,0.7414284618823487
30062,0.25954405661954927
30063,0.21725760549384515
30064,0.21996664396504037
30065,0.3166290459787732
30066,1.7639332313616396
30067,4.546129403026345
30068,1.517180773662435
30069,3.869664650514596
30070,9.255287396092587
30071,5.251525723400592
30072,5.430909335478944
30073,0.8526427263878669
30074,0.35292248034266044
30075,0.9465511876846198
30076,0.44542941835078176
30077,0.21027301339373888
30078,0.157770823668623
30079,0.6915440730864624
30080,0.17061964906816893
30081,0.08358342872036842
30082,0.09429834654153177
30083,0.21481654744695883
30084,0.5465359007201571
30085,1.4122413591635508
30086,4.777019425877017
30087,1.397204170270523
30088,5.162174457904186
30089,3.314867118716887
30090,1.4218595157472582
30091,0.16568871372419244
30092,0.0909499765197215
30093,0.05404625375993941
30094,0.043531676384328755
30095,0.1067151550146164
30096,0.05775068903715048
30097,0.04650028805083502
30098,0.047635646112327644
30099,0.03767040472237705
30100,0.11846683702993326
30101,0.07642314464154397
30102,5.812756600578888
30103,7.664376083948576
30104,4.528695962795521
30105,8.059358497917462
30106,5.799064568325529
30107,0.7455109358543875
30108,0.18994595780053777
30109,0.09457635831862235
30110,0.04985868942542694
30111,0.027364001801158326
30112,0.17804132153947447
30113,0.07232872858286107
30114,0.029738470772913413
30115,0.022691684285561228
30116,0.020443228212081724
30117,0.019643777163733347
30118,3.167234266779443
30119,5.91837728723668
30120,16.205572078612505
30121,31.93348973458848
30122,27.965945640125998
30123,11.964467357130465
30124,0.13277154609651792
30125,0.44816492048598194
30126,0.04581013097945983
30127,0.06201000142822467
30128,0.055782633158090504
30129,0.019591423055882486
30130,0.027347091806469267
30131,0.025811243927257293
30132,0.015367172631197542
30133,0.013381538000596502
30134,0.2530357149348374
30135,5.26939356897521
30136,0.47592157809602076
30137,2.3320845955189315
30138,0.8300730424594687
30139,0.5557311163632523
30140,0.08167298146728304
30141,0.024629932716355454
30142,0.05724233829285549
30143,0.04921811589780105
30144,0.10353416527921946
30145,0.12585984849329132
30146,0.10122533001566379
30147,0.010720745559445962
30148,0.012682591553450607
30149,0.0227330516736985
30150,0.07262537001511712
30151,3.945991780779516
30152,4.768932149264484
30153,4.122347070758133
30154,5.265276319646863
30155,2.8414755433290804
30156,0.6315684300023503
30157,0.13426488014727425
30158,0.16157270637285537
30159,0.037840746646278206
30160,0.14580341980015502
30161,0.0804394116852237
30162,0.03214886154129617
30163,0.05021742970823612
30164,0.02790999400255759
30165,0.0741026539014228
30166,0.07337581073987515
30167,4.036254848475429
30168,8.710102766360457
30169,3.456145729655678
30170,5.763679305766801
30171,4.466033063606251
30172,1.6816028619087355
30173,0.06198630832832131
30174,0.03409284217368013
30175,0.14769495078799544
30176,0.042756778266122474
30177,0.015479141635578819
30178,0.0170604649807343
30179,0.019940991816148616
30180,0.02594843461863238
30181,0.01687894526373361
30182,0.018557333889137644
30183,0.4626666262138589
30184,4.8998171322812025
30185,4.512590673672984
30186,21.46148150317867
30187,32.262980025736915
30188,22.634445864272564
30189,8.536749048207488
30190,0.05233098797097621
30191,0.1722622114336388
30192,0.10399341016323052
30193,0.8010268305651799
30194,0.3886962906324595
30195,0.043700776331218855
30196,0.04223896938920446
30197,0.033412429845007065
30198,0.016640485677610593
30199,0.03017153860299983
30200,9.184379298136987
30201,9.416041066394992
30202,2.138639606331471
30203,1.6201994229453727
30204,0.45317553343205286
30205,0.20888056609095704
30206,0.022696747730298394
30207,0.02058968596269319
30208,0.015683876769017138
30209,0.019055939890730733
30210,0.019724410132758944
30211,0.011900719256643584
30212,0.03150561298626168
30213,0.07209657441848642
30214,0.0989250930544929
30215,0.09515110706466248
30216,1.0976679762114638
30217,2.0073167786500052
30218,1.0245276634202234
30219,3.086631487348918
30220,1.450330214601961
30221,1.7404862339799694
30222,1.0494188889923675
30223,0.29016050960258705
30224,0.023988690431877336
30225,0.019886058217582728
30226,0.014377412490078087
30227,0.0394803473742601
30228,0.07431207033282601
30229,0.02490354980556083
30230,0.028732373857263918
30231,0.02644140395532907
30232,1.5831017606984796
30233,8.556687938216388
30234,3.5625363465236366
30235,6.499351968496449
30236,9.514044899117362
30237,4.266889119598519
30238,0.26859682705314536
30239,0.10450300288453698
30240,0.7141151900652578
30241,0.27397926880898826
30242,0.16692734695098896
30243,0.02953899015759883
30244,0.03276058298758841
30245,0.0412759595221694
30246,0.028973890617567985
30247,0.016616792577707307
30248,0.05782033528646295
30249,3.4851368168780157
30250,3.6090284184188604
30251,11.239693042672844
30252,32.138191907867466
30253,32.55417357360262
30254,11.307289552233499
30255,0.32795520756276325
30256,0.22125982864363067
30257,0.45296831434459256
30258,0.4024842417257514
30259,0.1456421538621037
30260,0.08163935255129107
30261,0.01456466440866829
30262,0.017757118547244266
30263,0.03502585351906355
30264,0.06982280112132004
30265,2.58036841087277
30266,4.168662972991172
30267,0.7690352224208229
30268,1.7861377740487885
30269,1.0362832624399603
30270,0.4244418220610847
30271,0.13979521270412573
30272,0.24974925269019324
30273,0.11126413465934636
30274,0.027882957118393902
30275,0.015629325317223792
30276,0.019920355890426532
30277,0.04438013775626735
30278,0.06912175286692473
30279,0.05620156155758951
30280,0.02627402366891587
30281,0.6203773573024858
30282,4.096883867004049
30283,2.881591305249537
30284,4.427582888394317
30285,4.448600769815747
30286,2.8673885338345513
30287,2.3002364834876965
30288,0.60297745045096
30289,0.09874328672741259
30290,0.048330771091747264
30291,0.028202240746928807
30292,0.026423443057015363
30293,0.014102266813782249
30294,0.014429097841076701
30295,0.029563160940967954
30296,0.018231267155388826
30297,0.013422141095188637
30298,3.1296015035141704
30299,6.095017372097609
30300,1.7167895992190776
30301,6.327709599128018
30302,7.964684978781898
30303,3.2733614889843627
30304,0.11943147102075197
30305,0.01543213758254503
30306,0.04798531040928693
30307,0.03726685773047667
30308,0.025779907891901335
30309,0.041399870613195715
30310,0.017395894310412854
30311,0.010743578829110869
30312,0.012014981141660793
30313,0.03860351160445364
30314,2.15296256290645
30315,3.8881323709855495
30316,3.082147281582148
30317,18.822189785896917
30318,24.340198109331073
30319,10.618618936267163
30320,0.4945058533326288
30321,0.3744345730777965
30322,0.15130700208292217
30323,0.10947196183239082
30324,0.05966190058378126
30325,0.04788098434035821
30326,0.14475863052377627
30327,4.167735311700604
30328,2.529816793811866
30329,1.2293813578945614
30330,2.7715527152900257
30331,4.560473664283896
30332,1.963688705742281
30333,2.9662528655521956
30334,1.274895707272002
30335,1.2453466857616218
30336,0.05270061943680547
30337,0.03357617973708039
30338,0.08769924499831908
30339,0.04492890052176825
30340,0.04900248958134293
30341,0.034948850944378
30342,0.017046038940067443
30343,0.029620482956863002
30344,0.022012322860512686
30345,0.023452251899793792
30346,0.5576190169567525
30347,5.293346815293927
30348,3.858504149556542
30349,3.7697277283428643
30350,3.743661401444873
30351,3.2094757201226667
30352,1.6069163832754219
30353,0.20574237679409527
30354,0.07677815899332008
30355,0.03833314276281593
30356,0.09903744420564668
30357,0.028617729825474
30358,0.019088517903097613
30359,0.01447294918323621
30360,0.02417412715329745
30361,0.0268525938826821
30362,0.021427351688304636
30363,4.200208615851867
30364,7.719416014854057
30365,3.266714045874413
30366,10.325108814665748
30367,8.294272430747275
30368,1.1536762670387948
30369,0.12334312538542334
30370,0.0642926596378547
30371,0.05679035419752377
30372,0.026223484758234952
30373,0.03433187497996199
30374,0.02561739997683916
30375,0.02214913140511527
30376,0.04720114523184387
30377,0.014648259015181698
30378,0.02327378935697417
30379,0.7099979407369107
30380,3.416800566702238
30381,1.8996118634942698
30382,18.415359102315943
30383,44.01916831579654
30384,32.36776161361869
30385,4.919871335078744
30386,0.09927399305790649
30387,0.1856148018162085
30388,0.3248869511252927
30389,0.08465458612405907
30390,0.02297074696627633
30391,0.052778290768343596
30392,0.03850644632420514
30393,0.021680714998560537
30394,0.009341100173547898
30395,0.017138136312271988
30396,3.5268652381789822
30397,6.600006275697104
30398,2.9349326892873546
30399,2.7418009649167616
30400,1.9118678837127698
30401,0.8622423488531016
30402,0.38086686755475463
30403,0.13451853006760975
30404,0.04519688094607707
30405,0.1766937764824774
30406,37.04622099214577
30407,37.55111674746944
30408,11.173730019491808
30409,3.8815907825316174
30410,0.6349084883318554
30411,0.19692405340550934
30412,0.42275091812887666
30413,1.6313966099935988
30414,3.320597696182597
30415,8.49473095965286
30416,1.6897287353453099
30417,0.8195133717646877
30418,0.2987236544837471
30419,0.12490610568549217
30420,0.06684998584031483
30421,0.019683902574859875
30422,0.017307809479320972
30423,0.01809598719787645
30424,0.03881569859995827
30425,0.10784009957655456
30426,0.6633726906914232
30427,4.476586428879287
30428,2.0367684482700588
30429,12.103102181159489
30430,4.008654679968783
30431,16.093660682857006
30432,10.444194251783879
30433,6.2065672570061885
30434,1.8176924928953324
30435,0.6123011629463531
30436,0.5846501689189467
30437,0.5764793932365878
30438,0.7413501217939596
30439,0.3093893709079341
30440,0.3193117163226568
30441,0.17850027981340674
30442,0.7053779773291635
30443,0.29608349796831945
30444,0.0636422458308336
30445,4.468195250045811
30446,4.478158198555127
30447,0.5359691603100819
30448,10.721995943686132
30449,8.181285387363511
30450,13.281653241459201
30451,10.603654259724236
30452,3.6895356611562264
30453,3.290673024394717
30454,4.233277782358356
30455,6.17273188622057
30456,16.393717456357084
30457,0.8368868149522086
30458,0.8980989894558685
30459,2.243342089831323
30460,0.165143963499804
30461,0.02500577406724018
30462,0.19263741752019167
30463,0.15349374145262157
30464,0.024554458728760574
30465,0.06871256921012796
30466,0.08519035589929017
30467,0.06672922746016315
30468,0.04459566853603216
30469,0.09695216480408174
30470,0.199627359675115
30471,0.23226250298458664
30472,0.5282672787177428
30473,1.3746319068514092
30474,6.207833309263926
30475,22.734586184064035
30476,75.5150671310978
30477,50.92685834581864
30478,2.3970762971406265
30479,0.3846781128549171
30480,0.10767348358368642
30481,2.4934524712216546
30482,1.3988495987367853
30483,1.3309211947041022
30484,1.322656124305595
30485,0.7065891915250236
30486,0.41371266927264083
30487,0.18361197058083897
30488,0.2246071477618157
30489,1.8862801001108092
30490,3.518722168137638
30491,109.96966252827927
30492,302.09842501980813
30493,169.2080619442803
30494,7.497083404682951
30495,1.1450002933230146
30496,0.15497685307721035
30497,0.04175316530449475
30498,0.051165535851138595
30499,0.06018773454292447
30500,0.04484224874107379
30501,0.11368474785389701
30502,0.33602853581810066
30503,0.0991575338289468
30504,0.06126806346915791
30505,0.8056933203424954
30506,4.06357356588403
30507,2.396138031277118
30508,95.83566329740113
30509,238.08466182882268
30510,22.205033936823313
30511,42.242861840693905
30512,21.852420995366472
30513,5.331043588143616
30514,6.409344939138198
30515,0.321730514320037
30516,0.28196298364614353
30517,0.5446214409259588
30518,0.17673208669643387
30519,0.04665515303044452
30520,0.019267458129382964
30521,0.033459147287961406
30522,2.8511572318137364
30523,4.313795725205355
30524,35.801481442069175
30525,73.42619870258078
30526,19.225653947484393
30527,10.936275861527621
30528,0.5707647703986339
30529,1.4989468314796366
30530,1.0241837313248539
30531,0.489389385730539
30532,0.29100018159875496
30533,0.12817470256851488
30534,0.08197764798176425
30535,0.058753824315312064
30536,0.06599091989543554
30537,0.0068212243548058495
30538,2.027776152563231
30539,5.766430284846296
30540,40.16746981811381
