,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.92,0.95,42701,208.19644904136658
nod,0.6,0.8,0.69,4924,208.19644904136658
shake,0.71,0.87,0.78,4846,208.19644904136658
accuracy,0.9,0.9,0.9,0,208.19644904136658
macro avg,0.76,0.86,0.81,52471,208.19644904136658
weighted avg,0.92,0.9,0.91,52471,208.19644904136658
