,precision,recall,f1-score,support,sum_fit_time
others,0.978,0.985,0.981,36452,210.4747655391693
nod,0.943,0.921,0.932,5349,210.4747655391693
shake,0.948,0.924,0.936,5327,210.4747655391693
accuracy,0.971,0.971,0.971,0,210.4747655391693
macro avg,0.956,0.943,0.95,47128,210.4747655391693
weighted avg,0.97,0.971,0.97,47128,210.4747655391693
