,precision,recall,f1-score,support
others,0.972,0.981,0.977,40549
nod,0.94,0.908,0.923,6651
shake,0.939,0.919,0.929,6706
accuracy,0.964,0.964,0.964,0
macro avg,0.95,0.936,0.943,53906
weighted avg,0.964,0.964,0.964,53906
