,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,172.4973394870758
nod,0.93,0.84,0.88,5446,172.4973394870758
shake,0.92,0.85,0.89,5379,172.4973394870758
accuracy,0.96,0.96,0.96,0,172.4973394870758
macro avg,0.94,0.89,0.92,55383,172.4973394870758
weighted avg,0.96,0.96,0.96,55383,172.4973394870758
