,precision,recall,f1-score,support
others,0.975,0.989,0.982,23999
nod,0.898,0.774,0.831,1421
shake,0.888,0.809,0.847,1472
accuracy,0.967,0.967,0.967,0
macro avg,0.92,0.857,0.887,26892
weighted avg,0.966,0.967,0.967,26892
