,precision,recall,f1-score,support
others,0.974,0.982,0.978,40549
nod,0.941,0.916,0.928,6651
shake,0.943,0.923,0.933,6706
accuracy,0.966,0.966,0.966,0
macro avg,0.952,0.94,0.946,53906
weighted avg,0.966,0.966,0.966,53906
