,precision,recall,f1-score,support
others,0.854,0.997,0.92,181505
nod,0.866,0.105,0.187,17097
shake,0.872,0.103,0.185,17380
accuracy,0.855,0.855,0.855,0
macro avg,0.864,0.402,0.43,215982
weighted avg,0.857,0.855,0.803,215982
