,precision,recall,f1-score,support
others,0.994,0.999,0.997,13276
nod,0.9,0.209,0.34,43
shake,0.667,0.254,0.368,63
accuracy,0.993,0.993,0.993,0
macro avg,0.854,0.488,0.568,13382
weighted avg,0.992,0.993,0.992,13382
