,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,120.18287801742554
nod,0.93,0.84,0.88,5446,120.18287801742554
shake,0.92,0.85,0.88,5379,120.18287801742554
accuracy,0.96,0.96,0.96,0,120.18287801742554
macro avg,0.94,0.89,0.91,55383,120.18287801742554
weighted avg,0.96,0.96,0.96,55383,120.18287801742554
