,precision,recall,f1-score,support,sum_fit_time
others,0.965,0.984,0.974,44558,78.41459107398987
nod,0.918,0.846,0.881,5446,78.41459107398987
shake,0.923,0.846,0.883,5379,78.41459107398987
accuracy,0.957,0.957,0.957,0,78.41459107398987
macro avg,0.935,0.892,0.913,55383,78.41459107398987
weighted avg,0.956,0.957,0.956,55383,78.41459107398987
