,precision,recall,f1-score,support
others,0.982,0.986,0.984,46936
nod,0.897,0.879,0.888,3461
shake,0.904,0.88,0.892,3509
accuracy,0.972,0.972,0.972,0
macro avg,0.928,0.915,0.921,53906
weighted avg,0.972,0.972,0.972,53906
