,precision,recall,f1-score,support
others,0.816,0.997,0.898,171943
nod,0.87,0.118,0.207,21896
shake,0.889,0.125,0.218,22143
accuracy,0.818,0.818,0.818,0
macro avg,0.858,0.413,0.441,215982
weighted avg,0.829,0.818,0.758,215982
