,precision,recall,f1-score,support,elapsed_time
others,0.93,0.98,0.95,29192,77.53246927261353
nod,0.78,0.57,0.63,3098,77.53246927261353
shake,0.81,0.65,0.68,3038,77.53246927261353
accuracy,0.91,0.91,0.91,0,77.53246927261353
macro avg,0.84,0.73,0.75,35328,77.53246927261353
weighted avg,0.9,0.91,0.9,35328,77.53246927261353
