,precision,recall,f1-score,support,sum_fit_time
others,0.966,0.986,0.976,44558,516.3543801
nod,0.934,0.846,0.888,5446,516.3543801
shake,0.928,0.856,0.891,5379,516.3543801
accuracy,0.96,0.96,0.96,0,516.3543801
macro avg,0.943,0.896,0.918,55383,516.3543801
weighted avg,0.959,0.96,0.959,55383,516.3543801
