,precision,recall,f1-score,support,sum_fit_time
others,0.957,0.981,0.969,44558,36.68106961250305
nod,0.898,0.797,0.845,5446,36.68106961250305
shake,0.905,0.826,0.863,5379,36.68106961250305
accuracy,0.947,0.947,0.947,0,36.68106961250305
macro avg,0.92,0.868,0.892,55383,36.68106961250305
weighted avg,0.946,0.947,0.946,55383,36.68106961250305
