,precision,recall,f1-score,support,sum_fit_time
others,0.94,0.98,0.96,44558,124.68227052688599
nod,0.84,0.64,0.73,5446,124.68227052688599
shake,0.88,0.8,0.84,5379,124.68227052688599
accuracy,0.93,0.93,0.93,0,124.68227052688599
macro avg,0.89,0.81,0.84,55383,124.68227052688599
weighted avg,0.93,0.93,0.92,55383,124.68227052688599
