,precision,recall,f1-score,support
others,0.813,0.995,0.895,83505
nod,0.912,0.208,0.339,12157
shake,0.894,0.215,0.346,12268
accuracy,0.818,0.818,0.818,0
macro avg,0.873,0.473,0.527,107930
weighted avg,0.833,0.818,0.77,107930
