,precision,recall,f1-score,support,sum_fit_time
others,0.96,0.98,0.97,44558,114.44700956344604
nod,0.9,0.81,0.85,5446,114.44700956344604
shake,0.91,0.84,0.88,5379,114.44700956344604
accuracy,0.95,0.95,0.95,0,114.44700956344604
macro avg,0.93,0.88,0.9,55383,114.44700956344604
weighted avg,0.95,0.95,0.95,55383,114.44700956344604
