,precision,recall,f1-score,support
others,0.831,0.996,0.906,85928
nod,0.927,0.207,0.338,10934
shake,0.897,0.206,0.335,11068
accuracy,0.835,0.835,0.835,0
macro avg,0.885,0.469,0.526,107930
weighted avg,0.848,0.835,0.79,107930
