,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.9,0.94,44558,3209.261703491211
nod,0.67,0.93,0.78,5446,3209.261703491211
shake,0.67,0.95,0.79,5379,3209.261703491211
accuracy,0.9,0.9,0.9,0,3209.261703491211
macro avg,0.78,0.93,0.84,55383,3209.261703491211
weighted avg,0.93,0.9,0.91,55383,3209.261703491211
