,precision,recall,f1-score,support,sum_fit_time
others,0.964,0.985,0.975,44558,117.69268107414246
nod,0.926,0.835,0.878,5446,117.69268107414246
shake,0.922,0.845,0.882,5379,117.69268107414246
accuracy,0.957,0.957,0.957,0,117.69268107414246
macro avg,0.937,0.888,0.911,55383,117.69268107414246
weighted avg,0.956,0.957,0.956,55383,117.69268107414246
