,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.91,0.95,44558,62581.98364901543
nod,0.73,0.94,0.82,5446,62581.98364901543
shake,0.7,0.95,0.81,5379,62581.98364901543
accuracy,0.92,0.92,0.92,0,62581.98364901543
macro avg,0.81,0.94,0.86,55383,62581.98364901543
weighted avg,0.94,0.92,0.93,55383,62581.98364901543
