,precision,recall,f1-score,support,sum_fit_time
others,0.94,0.98,0.96,44558,54.50937867164612
nod,0.82,0.63,0.71,5446,54.50937867164612
shake,0.87,0.79,0.83,5379,54.50937867164612
accuracy,0.92,0.92,0.92,0,54.50937867164612
macro avg,0.88,0.8,0.83,55383,54.50937867164612
weighted avg,0.92,0.92,0.92,55383,54.50937867164612
