,precision,recall,f1-score,support
others,0.93,0.9,0.92,1173
nod,0.9,0.93,0.91,616
shake,0.94,0.96,0.95,756
accuracy,0.92,0.92,0.92,0
macro avg,0.93,0.93,0.93,2545
weighted avg,0.93,0.92,0.92,2545
