,precision,recall,f1-score,support
others,0.983,0.986,0.984,48111
nod,0.872,0.849,0.86,2879
shake,0.884,0.87,0.877,2916
accuracy,0.972,0.972,0.972,0
macro avg,0.913,0.902,0.907,53906
weighted avg,0.972,0.972,0.972,53906
