,precision,recall,f1-score,support
others,0.963,0.972,0.968,40549
nod,0.892,0.863,0.877,6651
shake,0.904,0.882,0.893,6706
accuracy,0.948,0.948,0.948,0
macro avg,0.92,0.906,0.913,53906
weighted avg,0.947,0.948,0.947,53906
