,precision,recall,f1-score,support
others,0.978,0.986,0.982,44469
nod,0.925,0.885,0.905,4680
shake,0.94,0.905,0.922,4757
accuracy,0.97,0.97,0.97,0
macro avg,0.948,0.926,0.936,53906
weighted avg,0.97,0.97,0.97,53906
