,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.95,0.97,44558,706.8960702419281
nod,0.81,0.92,0.86,5446,706.8960702419281
shake,0.79,0.93,0.85,5379,706.8960702419281
accuracy,0.94,0.94,0.94,0,706.8960702419281
macro avg,0.86,0.93,0.89,55383,706.8960702419281
weighted avg,0.95,0.94,0.95,55383,706.8960702419281
