,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.99,0.98,44558,94.83709788322449
nod,0.92,0.84,0.88,5446,94.83709788322449
shake,0.93,0.85,0.89,5379,94.83709788322449
accuracy,0.96,0.96,0.96,0,94.83709788322449
macro avg,0.94,0.89,0.92,55383,94.83709788322449
weighted avg,0.96,0.96,0.96,55383,94.83709788322449
