,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.94,0.96,42701,223.59242939949036
nod,0.75,0.9,0.82,4924,223.59242939949036
shake,0.75,0.92,0.83,4846,223.59242939949036
accuracy,0.93,0.93,0.93,0,223.59242939949036
macro avg,0.83,0.92,0.87,52471,223.59242939949036
weighted avg,0.94,0.93,0.94,52471,223.59242939949036
