,precision,recall,f1-score,support,elapsed_time
others,0.92,0.91,0.92,1173,2.2410173416137695
nod,0.91,0.92,0.91,616,2.2410173416137695
shake,0.94,0.95,0.95,756,2.2410173416137695
accuracy,0.92,0.92,0.92,0,2.2410173416137695
macro avg,0.93,0.93,0.92,2545,2.2410173416137695
weighted avg,0.93,0.92,0.92,2545,2.2410173416137695
