,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.98,0.97,44558,114.42376255989075
nod,0.92,0.85,0.88,5446,114.42376255989075
shake,0.92,0.85,0.88,5379,114.42376255989075
accuracy,0.96,0.96,0.96,0,114.42376255989075
macro avg,0.94,0.89,0.91,55383,114.42376255989075
weighted avg,0.96,0.96,0.96,55383,114.42376255989075
