,precision,recall,f1-score,support
others,0.842,0.997,0.913,178314
nod,0.868,0.112,0.198,18711
shake,0.888,0.112,0.199,18957
accuracy,0.843,0.843,0.843,0
macro avg,0.866,0.407,0.437,215982
weighted avg,0.848,0.843,0.788,215982
