,min_gyro_X,min_gyro_Y,per25_gyro_X,per_range_gyro_Z,PB40-45gyro_Z,PB45-50gyro_Z,En_gyro_Z
36760,-5.404580152671755,-9.84732824427481,-4.916030534351145,7.267175572519084,104.76835877134886,97.69830039172354,439.8908066740478
36761,-7.801526717557252,-14.763358778625957,-4.965648854961833,2.6679389312977104,228.01547672195517,122.4253723593769,298.9562535205795
36762,-7.801526717557252,-14.763358778625957,-3.4045801526717554,6.977099236641221,288.1511727597566,29.966439283296616,1130.2799137579395
36763,-10.50381679389313,-6.427480916030534,-4.263358778625954,12.770992366412212,164.4129540808851,271.1426572904369,1984.812602218208
36764,-10.50381679389313,-6.427480916030534,-3.4732824427480917,20.874045801526716,204.78618392317776,430.31273277636126,4749.741157275217
36765,-3.4656488549618323,-1.9694656488549616,6.606870229007633,19.50381679389313,95.39609751606496,500.9653903258522,12198.351564594139
36766,-54.18320610687023,-55.221374045801525,-1.4885496183206106,17.33969465648855,4581.857482665363,2544.982003092131,21051.068430355655
36767,-70.04580152671755,-70.8854961832061,-17.65267175572519,15.713740458015266,3278.8281812667424,1314.5249994012465,25397.17576675796
36768,-70.04580152671755,-109.86259541984732,-22.416030534351144,55.347328244274806,23442.30566140281,5075.976941910821,64756.42718567294
36769,-51.00763358778626,-109.86259541984732,-16.591603053435115,55.847328244274806,33240.47997182335,10553.36250728877,57324.70176174659
36770,-19.49618320610687,-46.412213740458014,-7.450381679389313,31.01145038167939,28620.745445813387,474.1668409381725,14412.565017578621
36771,-13.770992366412214,-46.412213740458014,1.1908396946564885,6.1183206106870225,7413.308591768733,35.555021709549216,6356.432189266359
36772,-0.183206106870229,-1.786259541984733,3.568702290076336,6.034351145038169,79.04250594499678,23.20056644081034,464.2940465784824
36773,-10.641221374045802,-14.198473282442748,-2.198473282442748,8.854961832061068,334.42668760524117,29.527874348772123,1059.8619505467825
36774,-10.641221374045802,-14.198473282442748,-2.843511450381679,7.049618320610687,673.440190789234,69.86488866711971,1209.853163180079
36775,-3.175572519083969,-8.412213740458014,-1.7290076335877866,6.293893129770992,145.93439658522152,11.910655017645484,499.2500203950819
36776,-3.206106870229008,-5.633587786259542,-0.00381679389312975,5.106870229007634,732.5956114020591,8.194857093012487,626.0477905327973
36777,-3.206106870229008,-5.633587786259542,0.8244274809160305,6.820610687022901,649.0557629411733,57.289946903377135,603.2957519958044
36778,-2.595419847328244,-1.9083969465648856,0.2786259541984733,4.5381679389312986,469.78239065419217,2.9350859187377325,427.73083153662367
36779,-2.595419847328244,-1.9083969465648856,0.3854961832061069,1.7900763358778629,334.54374935840633,67.28305244110199,226.29902686323643
36780,-2.2442748091603053,-0.4732824427480916,0.045801526717557224,2.1564885496183206,14.457622005747137,0.29850923217053027,190.17455859215667
36781,-2.2442748091603053,-0.8396946564885496,-0.16030534351145034,3.064885496183206,29.400027333462706,23.102427253786892,165.7711011401822
36782,-3.3740458015267176,-24.977099236641223,0.2213740458015267,3.599236641221374,1246.1936298890614,468.4842245484431,3511.093898956937
36783,-3.3740458015267176,-24.977099236641223,2.4618320610687023,26.755725190839698,1621.1952712167003,1485.9620667199422,9440.35837849387
36784,2.6412213740458017,-2.7022900763358777,5.240458015267175,13.301526717557252,765.3359261837771,230.10142832686003,6764.914367849579
36785,-57.66412213740458,-78.85496183206106,-9.977099236641221,11.85496183206107,2109.5201151455603,3548.965124065024,24772.759878017983
36786,-57.66412213740458,-78.85496183206106,-10.469465648854962,15.339694656488549,2949.3300519569048,1616.8736621661058,25925.463519996905
36787,-9.86259541984733,-17.72519083969466,-4.862595419847328,16.045801526717558,2834.12358594943,1967.15375176329,6719.679210613211
36788,-9.755725190839694,-17.72519083969466,-5.908396946564885,29.56106870229008,6643.033865744705,3364.573785503721,9810.89206145718
36789,-9.755725190839694,-14.36641221374046,-5.064885496183206,24.099236641221374,4921.567029154208,3688.5921632083164,5270.132634073383
36790,-5.099236641221374,-12.687022900763358,-2.458015267175572,13.438931297709924,1292.4635316660651,128.36949868319192,2320.5071033156573
36791,-3.83206106870229,-7.587786259541985,-0.8206106870229007,5.16030534351145,257.7513090590455,72.53831607363793,1141.6831963949264
36792,-3.83206106870229,-7.587786259541985,0.16793893129770987,3.793893129770993,38.83463083360806,35.66168487212534,254.11987646407553
36793,-0.732824427480916,0.6717557251908397,2.0877862595419843,2.1412213740458013,37.525120127459054,13.627683976705944,100.66567993318182
36794,-3.0381679389312977,-0.5038167938931297,1.1984732824427484,4.3816793893129775,40.328685313256976,263.1248428477261,1151.2093545442185
36795,-4.824427480916031,-0.5038167938931297,-3.3625954198473282,4.870229007633588,194.71255496258132,142.7372529792818,944.5032651554882
36796,-4.824427480916031,6.534351145038168,-3.3625954198473282,4.97709923664122,309.04870262533757,184.93231320303246,2091.3030709166137
36797,-23.404580152671755,-47.38931297709924,-9.270992366412214,14.15267175572519,667.0866126172448,139.94185821538238,7573.800982848707
36798,-23.404580152671755,-47.38931297709924,-9.270992366412214,13.118320610687023,630.4302913747028,139.9154926617652,3581.22936114834
36799,-3.7099236641221376,-1.0076335877862594,-1.5877862595419847,10.629770992366414,441.9222510912765,129.6511241178984,1495.656585669056
36800,-2.5801526717557253,0.1068702290076335,-0.6603053435114503,7.01526717557252,81.61274163277923,80.27198533426092,799.4794242759743
36801,-0.7175572519083969,0.1068702290076335,1.3396946564885495,6.759541984732825,231.18061219131982,160.58539836852745,903.3124565390517
36802,0.8702290076335878,0.4122137404580153,2.0152671755725193,15.97709923664122,414.5172056558807,878.2643447504095,8463.778132587457
36803,-39.7557251908397,-45.98473282442748,-13.106870229007633,33.0,768.4430451796563,1790.698550622681,29726.040254064446
36804,-39.7557251908397,-45.98473282442748,-13.416030534351146,41.80152671755725,8150.020128546315,6996.071323123332,34137.291797292324
36805,-23.80152671755725,-34.0,-9.381679389312977,49.54961832061069,25724.277090168456,21886.593235272878,44442.61858866033
36806,-23.80152671755725,-34.0,-2.713740458015267,60.31679389312978,19799.141789633297,17058.472493576213,43674.05148884098
36807,-6.916030534351145,-26.53435114503817,-1.33206106870229,32.908396946564885,7618.216495404834,13946.187200606048,21452.704450012625
36808,-6.916030534351145,-12.916030534351146,0.28244274809160297,14.225190839694658,3619.342606160896,887.9827667072155,4932.06980168211
