,precision,recall,f1-score,support,elapsed_time
others,0.93,0.9,0.91,1173,3.307159423828125
nod,0.9,0.92,0.91,616,3.307159423828125
shake,0.94,0.95,0.94,756,3.307159423828125
accuracy,0.92,0.92,0.92,0,3.307159423828125
macro avg,0.92,0.92,0.92,2545,3.307159423828125
weighted avg,0.92,0.92,0.92,2545,3.307159423828125
