,precision,recall,f1-score,support,sum_fit_time
others,0.965,0.985,0.975,44558,130.1457495689392
nod,0.928,0.838,0.881,5446,130.1457495689392
shake,0.921,0.85,0.884,5379,130.1457495689392
accuracy,0.958,0.958,0.958,0,130.1457495689392
macro avg,0.938,0.891,0.913,55383,130.1457495689392
weighted avg,0.957,0.958,0.957,55383,130.1457495689392
