,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.93,0.95,44558,432.6644563674927
nod,0.65,0.83,0.73,5446,432.6644563674927
shake,0.76,0.88,0.82,5379,432.6644563674927
accuracy,0.91,0.91,0.91,0,432.6644563674927
macro avg,0.79,0.88,0.83,55383,432.6644563674927
weighted avg,0.92,0.91,0.92,55383,432.6644563674927
