,precision,recall,f1-score,support,sum_fit_time
others,0.971,0.987,0.979,20689,91.50680088996887
nod,0.936,0.863,0.898,2679,91.50680088996887
shake,0.927,0.881,0.903,2628,91.50680088996887
accuracy,0.963,0.963,0.963,0,91.50680088996887
macro avg,0.944,0.91,0.927,25996,91.50680088996887
weighted avg,0.963,0.963,0.963,25996,91.50680088996887
