,precision,recall,f1-score,support,elapsed_time
others,0.92,0.9,0.91,1173,1.488022327
nod,0.91,0.92,0.91,616,1.488022327
shake,0.94,0.94,0.94,756,1.488022327
accuracy,0.92,0.92,0.92,0,1.488022327
macro avg,0.92,0.92,0.92,2545,1.488022327
weighted avg,0.92,0.92,0.92,2545,1.488022327
