,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.98,0.97,42701,142.2286343574524
nod,0.92,0.83,0.87,4924,142.2286343574524
shake,0.92,0.84,0.88,4846,142.2286343574524
accuracy,0.96,0.96,0.96,0,142.2286343574524
macro avg,0.93,0.89,0.91,52471,142.2286343574524
weighted avg,0.96,0.96,0.96,52471,142.2286343574524
