,precision,recall,f1-score,support,sum_fit_time
others,0.964,0.985,0.974,44558,104.18975162506104
nod,0.925,0.836,0.878,5446,104.18975162506104
shake,0.918,0.847,0.881,5379,104.18975162506104
accuracy,0.957,0.957,0.957,0,104.18975162506104
macro avg,0.936,0.889,0.911,55383,104.18975162506104
weighted avg,0.956,0.957,0.956,55383,104.18975162506104
