,precision,recall,f1-score,support
others,0.959,0.987,0.973,11735
nod,0.884,0.656,0.753,809
shake,0.886,0.741,0.807,838
accuracy,0.952,0.952,0.952,0
macro avg,0.909,0.795,0.844,13382
weighted avg,0.95,0.952,0.949,13382
