,precision,recall,f1-score,support,sum_fit_time
others,0.965,0.985,0.975,44558,137.81217789649963
nod,0.927,0.838,0.881,5446,137.81217789649963
shake,0.917,0.847,0.881,5379,137.81217789649963
accuracy,0.957,0.957,0.957,0,137.81217789649963
macro avg,0.936,0.89,0.912,55383,137.81217789649963
weighted avg,0.956,0.957,0.956,55383,137.81217789649963
