,0,1,2,3,4,5,6,7,8,9,10
SFM_threshold,0.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01
select_feature_num,97.0,97.0,93.0,64.0,53.0,47.0,39.0,35.0,30.0,29.0,25.0
