,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
SFM_threshold,0.0,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
macro_avg,0.9510323553704031,0.9486124160681629,0.9412050398353098,0.9377234021199019,0.9285737668971317,0.9126780327170154,0.8989453711753176,0.8441738546229393,0.8367149213888609,0.8367149213888609,0.7787351826346404,0.777601404510503,0.5521986341433491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
