,0,1,2,3,4,5,6,7,8,9,10
SFM_threshold,0.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01
macro_avg,0.9510323553704031,0.9510323553704031,0.9523825431548287,0.9506287864614021,0.9501395553662414,0.9486124160681629,0.9462615084585501,0.9460618070925807,0.9429466224909274,0.9426388268718525,0.9412050398353098
