,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
SFM_threshold,0.0,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
select_feature_num,97.0,47.0,25.0,20.0,16.0,11.0,8.0,7.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
