,precision,recall,f1-score,support
others,0.884,0.885,0.884,40549
nod,0.27,0.268,0.269,6651
shake,0.503,0.504,0.503,6706
accuracy,0.761,0.761,0.761,0
macro avg,0.552,0.552,0.552,53906
weighted avg,0.761,0.761,0.761,53906
